2024-07-27 16:37:45 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/270559/events/597585?lang=en&region=us HTTP/1.1" 200 None
2024-07-27 16:37:45 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/270559/events/597586?lang=en&region=us HTTP/1.1" 200 None
2024-07-27 16:37:45 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/270559/events/597588?lang=en&region=us HTTP/1.1" 200 None
2024-07-27 16:37:45 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/270559/events/597591?lang=en&region=us HTTP/1.1" 200 None
2024-07-27 16:37:46 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/270559/events/597589?lang=en&region=us HTTP/1.1" 200 None
2024-07-27 16:37:46 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/270559/events/597587?lang=en&region=us HTTP/1.1" 200 None
2024-07-27 16:37:46 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/270559/events/597593?lang=en&region=us HTTP/1.1" 200 None
2024-07-27 16:37:46 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/270559/events/597592?lang=en&region=us HTTP/1.1" 200 None
2024-07-27 16:37:46 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/270559/events/597595?lang=en&region=us HTTP/1.1" 200 None
2024-07-27 16:37:47 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/270559/events/597596?lang=en&region=us HTTP/1.1" 200 None
2024-07-27 16:37:47 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/270559/events/597597?lang=en&region=us HTTP/1.1" 200 None
